team,team_id,elo,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,players_used_against,avg_age_against,possession_against,games_against,games_starts_against,minutes_against,minutes_90s_against,goals_against,assists_against,goals_assists_against,goals_pens_against,pens_made_against,pens_att_against,cards_yellow_against,cards_red_against,goals_per90_against,assists_per90_against,goals_assists_per90_against,goals_pens_per90_against,goals_assists_pens_per90_against,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,shots_against,shots_on_target_against,shots_on_target_pct_against,shots_per90_against,shots_on_target_per90_against,goals_per_shot_against,goals_per_shot_on_target_against,minutes_per_game,minutes_pct,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,minutes_per_game_against,minutes_pct_against,minutes_per_start_against,games_complete_against,games_subs_against,minutes_per_sub_against,unused_subs_against,points_per_game_against,on_goals_for_against,on_goals_against_against,plus_minus_against,plus_minus_per90_against,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,cards_yellow_red_against,fouls_against,fouled_against,offsides_against,crosses_against,interceptions_against,tackles_won_against,pens_won_against,pens_conceded_against,own_goals_against,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct,gk_games_against,gk_games_starts_against,gk_minutes_against,gk_goals_against_against,gk_goals_against_per90_against,gk_shots_on_target_against_against,gk_saves_against,gk_save_pct_against,gk_wins_against,gk_ties_against,gk_losses_against,gk_clean_sheets_against,gk_clean_sheets_pct_against,gk_pens_att_against,gk_pens_allowed_against,gk_pens_saved_against,gk_pens_missed_against,gk_pens_save_pct_against,squad_players,squad_avg_age,squad_median_age,squad_avg_height,squad_median_height,squad_avg_caps,squad_median_caps,squad_total_caps,squad_avg_market_value,squad_median_market_value,squad_total_market_value,squad_goalkeepers,squad_defenders,squad_midfielders,squad_forwards,squad_pct_goalkeepers,squad_pct_defenders,squad_pct_midfielders,squad_pct_forwards
Mexico,1,2025.3027903755703,25,28.0,48.5,4,44,360,4.0,8,7,15,8,0,0,2,1,2.0,1.75,3.75,2.0,3.75,25,27.9,51.5,4,44,360,4.0,0,0,0,0,0,0,7,3,0.0,0.0,0.0,0.0,0.0,50,16,32.0,12.5,4.0,0.16,0.5,32,6,18.8,8.0,1.5,0.0,0.0,90,100,82,23,20,18,39,3.0,8,0,8,2.0,90,100,82,24,19,24,40,0.0,0,8,-8,-2.0,0,44,41,4,37,29,26,,,0,0,41,41,9,68,21,33,,,0,4,4,360,0,0.0,6,6,100.0,4,0,0,4,100.0,0,0,0,0,,4,4,360,8,2.0,16,8,50.0,0,0,4,0,0.0,0,0,0,0,,26,27.900700257989783,28.521560574948666,179.5,178.0,47.57692307692308,40.5,1237,15842558.038461538,15321605.5,411906509,3,7,8,8,0.1153846153846153,0.2692307692307692,0.3076923076923077,0.3076923076923077
South Africa,2,1686.4334978551574,19,27.1,48.0,4,44,360,4.0,2,1,3,1,1,1,5,2,0.5,0.25,0.75,0.25,0.5,19,28.1,52.0,4,44,360,4.0,4,3,7,4,0,0,5,1,1.0,0.75,1.75,1.0,1.75,39,11,28.2,9.75,2.75,0.03,0.09,50,17,34.0,12.5,4.25,0.08,0.24,90,100,83,30,13,21,42,1.0,2,4,-2,-0.5,90,100,83,23,20,26,38,1.75,4,2,2,0.5,0,38,46,8,41,47,38,,,0,0,49,38,3,73,29,34,,,0,4,4,360,4,1.0,15,11,73.3,1,1,2,1,25.0,0,0,0,0,,4,4,360,2,0.5,11,9,81.8,2,1,1,2,50.0,1,1,0,0,0.0,26,26.80840309587743,25.89185489390828,178.84615384615384,178.5,20.692307692307693,12.5,538,1834615.3846153845,1500000.0,47700000,3,10,5,8,0.1153846153846153,0.3846153846153846,0.1923076923076923,0.3076923076923077
South Korea,3,1863.1573856162663,20,28.6,63.0,3,33,270,3.0,2,2,4,2,0,0,4,0,0.67,0.67,1.33,0.67,1.33,20,27.7,37.0,3,33,270,3.0,3,2,5,3,0,0,1,0,1.0,0.67,1.67,1.0,1.67,32,11,34.4,10.67,3.67,0.06,0.18,28,12,42.9,9.33,4.0,0.11,0.25,90,100,78,18,15,26,30,1.0,2,3,-1,-0.33,90,100,78,21,12,18,30,2.0,3,2,1,0.33,0,25,31,8,54,20,23,,,0,0,32,25,8,28,29,20,,,0,3,3,270,3,1.0,12,9,75.0,1,0,2,0,0.0,0,0,0,0,,3,3,270,2,0.67,10,8,80.0,2,0,1,2,66.7,0,0,0,0,,26,28.065708418891173,28.514715947980836,181.92307692307693,181.0,37.46153846153846,25.5,974,5348076.923076923,2000000.0,139050000,3,9,11,3,0.1153846153846153,0.3461538461538461,0.4230769230769231,0.1153846153846153
Czechia,4,1812.4999707613135,21,28.2,42.7,3,33,270,3.0,2,2,4,2,0,0,1,0,0.67,0.67,1.33,0.67,1.33,21,27.6,57.3,3,33,270,3.0,6,5,11,5,1,1,4,0,2.0,1.67,3.67,1.67,3.33,34,8,23.5,11.33,2.67,0.06,0.25,43,15,34.9,14.33,5.0,0.12,0.33,90,100,80,20,14,22,29,0.33,2,6,-4,-1.33,90,100,80,20,13,20,30,2.33,6,2,4,1.33,0,37,31,5,57,19,19,,,0,0,32,35,5,42,27,23,,,0,3,3,270,6,2.0,15,9,60.0,0,1,2,0,0.0,1,1,0,0,0.0,3,3,270,2,0.67,8,6,75.0,2,1,0,1,33.3,0,0,0,0,,26,27.620807665982205,27.07460643394935,185.73076923076923,188.0,28.384615384615383,23.0,738,7197762.692307692,5500000.0,187141830,3,9,7,7,0.1153846153846153,0.3461538461538461,0.2692307692307692,0.2692307692307692
Canada,5,1910.7827130442151,21,27.4,56.8,4,44,360,4.0,8,3,11,8,0,0,7,0,2.0,0.75,2.75,2.0,2.75,21,27.8,43.3,4,44,360,4.0,3,3,6,3,0,0,5,2,0.75,0.75,1.5,0.75,1.5,70,28,40.0,17.5,7.0,0.11,0.29,22,8,36.4,5.5,2.0,0.14,0.38,90,100,79,24,20,24,36,1.75,9,3,6,1.5,90,100,79,25,18,21,40,1.0,3,9,-6,-1.5,0,48,59,5,117,31,41,,,0,0,59,48,3,27,42,44,,,1,4,4,360,3,0.75,8,5,62.5,2,1,1,2,50.0,0,0,0,0,,4,4,360,9,2.25,25,16,64.0,1,1,2,0,0.0,0,0,0,0,,26,26.972674143105355,26.62286105407255,182.30769230769232,183.0,37.42307692307692,28.5,973,7855135.5,3750000.0,204233523,3,9,7,7,0.1153846153846153,0.3461538461538461,0.2692307692307692,0.2692307692307692
Bosnia and Herzegovina,6,1677.446304180127,23,27.0,46.0,4,44,360,4.0,4,3,7,4,0,0,7,1,1.0,0.75,1.75,1.0,1.75,23,29.2,54.0,4,44,360,4.0,8,4,12,7,1,1,4,1,2.0,1.0,3.0,1.75,2.75,37,14,37.8,9.25,3.5,0.11,0.29,43,16,37.2,10.75,4.0,0.16,0.44,90,100,79,23,20,24,39,1.0,5,8,-3,-0.75,90,100,79,25,18,17,37,1.75,8,5,3,0.75,0,60,38,2,57,34,37,,,0,0,38,58,10,77,20,42,,,1,4,4,360,8,2.0,14,6,42.9,1,1,2,0,0.0,1,1,0,0,0.0,4,4,360,5,1.25,15,10,66.7,2,1,1,1,25.0,0,0,0,0,,26,26.4564839677776,27.676933607118418,187.07692307692307,188.5,23.576923076923077,16.0,613,5630769.230769231,2650000.0,146400000,3,8,8,7,0.1153846153846153,0.3076923076923077,0.3076923076923077,0.2692307692307692
Qatar,7,1540.08248772755,22,30.1,33.0,3,33,270,3.0,2,2,4,2,0,0,4,2,0.67,0.67,1.33,0.67,1.33,22,28.3,67.0,3,33,270,3.0,8,3,11,7,1,1,3,0,2.67,1.0,3.67,2.33,3.33,18,7,38.9,6.0,2.33,0.11,0.29,72,22,30.6,24.0,7.33,0.1,0.32,90,100,75,17,15,27,28,0.33,2,10,-8,-2.67,90,100,75,18,15,23,28,2.33,10,2,8,2.67,0,36,28,4,28,25,24,,,2,0,29,36,3,112,17,20,,,0,3,3,270,10,3.33,22,12,54.5,0,1,2,0,0.0,1,1,0,0,0.0,3,3,270,2,0.67,7,5,71.4,2,1,0,1,33.3,0,0,0,0,,26,29.50771336808298,29.59753593429158,179.3846153846154,180.0,61.0,50.0,1586,4665383.692307692,4593629.5,121299976,3,9,5,9,0.1153846153846153,0.3461538461538461,0.1923076923076923,0.3461538461538461
Switzerland,8,2020.9768242248017,21,29.9,61.7,3,33,270,3.0,7,4,11,5,2,2,3,0,2.33,1.33,3.67,1.67,3.0,21,28.1,38.3,3,33,270,3.0,3,2,5,3,0,0,6,1,1.0,0.67,1.67,1.0,1.67,45,18,40.0,15.0,6.0,0.11,0.28,25,14,56.0,8.33,4.67,0.12,0.21,90,100,84,18,15,13,28,2.33,7,3,4,1.33,90,100,84,17,15,20,28,0.33,3,7,-4,-1.33,0,37,42,5,63,16,27,,,0,0,43,37,4,46,35,18,,,0,3,3,270,3,1.0,14,11,78.6,2,1,0,0,0.0,0,0,0,0,,3,3,270,7,2.33,17,10,58.8,0,1,2,0,0.0,2,2,0,0,0.0,26,28.3070604959722,28.91581108829569,185.23076923076923,183.5,44.15384615384615,29.5,1148,13737866.076923076,10000000.0,357184518,3,8,8,7,0.1153846153846153,0.3076923076923077,0.3076923076923077,0.2692307692307692
Brazil,9,2137.772186909461,22,29.6,57.8,4,44,360,4.0,9,8,17,9,0,0,7,0,2.25,2.0,4.25,2.25,4.25,22,28.1,42.3,4,44,360,4.0,2,1,3,2,0,0,7,0,0.5,0.25,0.75,0.5,0.75,60,26,43.3,15.0,6.5,0.15,0.35,40,13,32.5,10.0,3.25,0.05,0.15,90,100,80,25,19,23,37,2.5,9,2,7,1.75,90,100,80,24,20,18,40,0.25,2,9,-7,-1.75,0,44,47,10,77,37,37,,,0,0,51,43,5,59,20,39,,,0,4,4,360,2,0.5,13,11,84.6,3,1,0,2,50.0,0,0,0,0,,4,4,360,9,2.25,24,15,62.5,0,1,3,0,0.0,0,0,0,0,,26,29.36302848417838,29.010266940451743,183.1153846153846,183.5,35.84615384615385,23.5,932,34355092.807692304,34393364.0,893232413,3,8,6,9,0.1153846153846153,0.3076923076923077,0.2307692307692307,0.3461538461538461
Morocco,10,2026.3762033186931,20,26.3,61.8,4,44,390,4.3,7,6,13,7,0,0,2,0,1.62,1.38,3.0,1.62,3.0,20,28.9,38.3,4,44,390,4.3,3,3,6,3,0,0,6,0,0.69,0.69,1.38,0.69,1.38,59,21,35.6,13.62,4.85,0.12,0.33,33,9,27.3,7.62,2.08,0.09,0.33,98,100,89,25,19,20,41,2.0,7,4,3,0.69,98,100,89,23,21,24,38,0.5,4,7,-3,-0.69,0,47,59,6,65,26,46,,,1,0,63,46,4,42,39,44,,,0,4,4,390,4,0.92,10,6,60.0,3,1,0,1,25.0,0,0,0,0,,4,4,390,7,1.62,23,16,69.6,0,1,3,0,0.0,0,0,0,0,,26,26.598957510661823,25.869952087611225,182.3846153846154,182.5,27.807692307692307,17.0,723,17567467.46153846,11000000.0,456754154,3,9,9,5,0.1153846153846153,0.3461538461538461,0.3461538461538461,0.1923076923076923
Haiti,11,1675.034600785328,18,29.0,42.7,3,33,270,3.0,1,1,2,1,0,0,7,0,0.33,0.33,0.67,0.33,0.67,18,28.6,57.3,3,33,270,3.0,8,5,13,8,0,0,4,0,2.67,1.67,4.33,2.67,4.33,31,7,22.6,10.33,2.33,0.03,0.14,39,18,46.2,13.0,6.0,0.21,0.44,90,100,82,20,13,21,32,0.0,2,8,-6,-2.0,90,100,82,18,15,18,29,3.0,8,2,6,2.0,0,55,44,7,37,29,28,,,0,0,44,53,14,45,23,26,,,1,3,3,270,8,2.67,19,11,57.9,0,0,3,0,0.0,0,0,0,0,,3,3,270,2,0.67,8,6,75.0,3,0,0,2,66.7,0,0,0,0,,26,27.508134575896385,26.28336755646817,181.57692307692307,181.0,24.73076923076923,16.0,643,2358839.923076923,450000.0,61329838,3,9,5,9,0.1153846153846153,0.3461538461538461,0.1923076923076923,0.3461538461538461
Scotland,12,1834.560378777142,20,29.6,44.3,3,33,270,3.0,1,0,1,1,0,0,5,0,0.33,0.0,0.33,0.33,0.33,20,28.3,55.7,3,33,270,3.0,4,4,8,4,0,0,4,0,1.33,1.33,2.67,1.33,2.67,29,7,24.1,9.67,2.33,0.03,0.14,48,13,27.1,16.0,4.33,0.08,0.31,90,100,84,18,15,14,30,1.0,1,4,-3,-1.0,90,100,84,21,12,13,32,2.0,4,1,3,1.0,0,42,39,2,50,17,25,,,0,0,42,41,4,45,24,18,,,0,3,3,270,4,1.33,12,8,66.7,1,0,2,1,33.3,0,0,0,0,,3,3,270,1,0.33,7,6,85.7,2,0,1,2,66.7,0,0,0,0,,26,29.20244300531775,29.913757700205338,184.46153846153845,184.5,38.03846153846154,27.0,989,4811362.076923077,2959215.5,125095414,3,10,6,7,0.1153846153846153,0.3846153846153846,0.2307692307692307,0.2692307692307692
USA,13,1906.13767214718,23,27.1,57.0,4,44,360,4.0,8,4,12,8,0,0,5,1,2.0,1.0,3.0,2.0,3.0,23,27.0,43.0,4,44,360,4.0,4,4,8,4,0,0,11,0,1.0,1.0,2.0,1.0,2.0,52,17,32.7,13.0,4.25,0.15,0.47,33,9,27.3,8.25,2.25,0.12,0.44,90,100,84,26,17,13,39,2.25,10,4,6,1.5,90,100,84,24,20,23,40,0.75,4,10,-6,-1.5,0,45,57,11,63,51,32,,,0,0,59,42,3,48,32,58,,,2,4,4,360,4,1.0,9,5,55.6,3,0,1,2,50.0,0,0,0,0,,4,4,360,10,2.5,19,9,47.4,1,0,3,0,0.0,0,0,0,0,,26,26.90496498710051,26.795345653661876,183.3846153846154,185.0,37.57692307692308,37.5,977,14569694.038461538,10306989.5,378812045,3,10,6,7,0.1153846153846153,0.3846153846153846,0.2307692307692307,0.2692307692307692
Paraguay,14,1892.325656238688,24,28.3,31.5,4,44,390,4.3,3,3,6,3,0,0,9,1,0.69,0.69,1.38,0.69,1.38,24,27.4,68.5,4,44,390,4.3,4,4,8,4,0,0,7,0,0.92,0.92,1.85,0.92,1.85,30,8,26.7,6.92,1.85,0.1,0.38,81,22,27.2,18.69,5.08,0.05,0.18,98,100,86,22,21,22,37,1.25,3,5,-2,-0.46,98,100,86,26,18,28,39,1.25,5,3,2,0.46,0,53,49,5,39,39,68,,,1,0,51,52,8,128,28,40,,,0,4,4,390,5,1.15,24,19,79.2,2,1,1,2,50.0,0,0,0,0,,4,4,390,3,0.69,8,5,62.5,1,1,2,1,25.0,0,0,0,0,,26,29.002579897857103,29.67419575633128,181.6153846153846,183.5,27.115384615384617,21.5,705,5218604.846153846,5208471.0,135683726,3,8,9,6,0.1153846153846153,0.3076923076923077,0.3461538461538461,0.2307692307692307
Australia,15,1903.017444155559,20,25.6,40.7,3,33,270,3.0,2,1,3,2,0,0,5,0,0.67,0.33,1.0,0.67,1.0,20,27.5,59.3,3,33,270,3.0,1,0,1,1,0,0,5,0,0.33,0.0,0.33,0.33,0.33,26,11,42.3,8.67,3.67,0.08,0.18,47,12,25.5,15.67,4.0,0.02,0.08,90,100,81,20,13,23,30,1.33,2,2,0,0.0,90,100,81,18,15,15,28,1.33,2,2,0,0.0,0,34,24,1,46,20,27,,,1,0,25,33,4,47,33,32,,,0,3,3,270,2,0.67,13,11,84.6,1,1,1,2,66.7,0,0,0,0,,3,3,270,2,0.67,11,9,81.8,1,1,1,2,66.7,0,0,0,0,,26,27.35944821776444,27.117043121149894,183.57692307692307,183.5,28.884615384615383,15.5,751,3078418.9615384615,1400000.0,80038893,3,10,5,8,0.1153846153846153,0.3846153846153846,0.1923076923076923,0.3076923076923077
Türkiye,16,1936.4810602825576,23,27.0,66.3,3,33,270,3.0,3,3,6,3,0,0,2,0,1.0,1.0,2.0,1.0,2.0,23,26.6,33.7,3,33,270,3.0,5,3,8,5,0,0,2,1,1.67,1.0,2.67,1.67,2.67,71,16,22.5,23.67,5.33,0.04,0.19,34,13,38.2,11.33,4.33,0.15,0.38,90,100,82,18,15,17,30,1.0,3,5,-2,-0.67,90,100,82,17,15,16,29,2.0,5,3,2,0.67,0,31,38,7,79,18,39,,,0,0,40,30,9,38,26,29,,,0,3,3,270,5,1.67,13,8,61.5,1,0,2,0,0.0,0,0,0,0,,3,3,270,3,1.0,16,13,81.3,2,0,1,2,66.7,0,0,0,0,,26,27.672195019217607,27.505817932922657,183.76923076923077,184.5,38.03846153846154,32.0,989,17737360.576923076,11595640.5,461171375,3,9,5,9,0.1153846153846153,0.3461538461538461,0.1923076923076923,0.3461538461538461
Germany,17,2038.2424069249116,23,28.5,65.0,4,44,390,4.3,11,10,21,10,1,1,3,0,2.54,2.31,4.85,2.31,4.62,23,27.6,35.0,4,44,390,4.3,5,3,8,5,0,0,6,0,1.15,0.69,1.85,1.15,1.85,74,28,37.8,17.08,6.46,0.14,0.36,31,10,32.3,7.15,2.31,0.16,0.5,98,100,84,23,21,29,36,1.75,11,5,6,1.38,98,100,84,25,19,23,40,1.0,5,11,-6,-1.38,0,51,42,4,105,25,53,,,0,0,45,50,3,49,54,55,,,0,4,4,390,5,1.15,10,5,50.0,2,0,2,0,0.0,0,0,0,0,,4,4,390,11,2.54,28,17,60.7,2,0,2,0,0.0,1,1,0,0,0.0,26,28.04675406728795,27.568788501026695,186.19230769230768,187.5,33.07692307692308,13.5,860,38028524.192307696,31500000.0,988741629,3,8,11,4,0.1153846153846153,0.3076923076923077,0.4230769230769231,0.1538461538461538
Curaçao,18,1575.4055655196416,22,29.3,32.3,3,33,270,3.0,1,0,1,1,0,0,7,0,0.33,0.0,0.33,0.33,0.33,22,27.1,67.7,3,33,270,3.0,9,8,17,8,1,1,2,0,3.0,2.67,5.67,2.67,5.33,29,7,24.1,9.67,2.33,0.03,0.14,60,30,50.0,20.0,10.0,0.13,0.27,90,100,84,20,13,15,32,0.33,1,9,-8,-2.67,90,100,84,19,14,21,31,2.33,9,1,8,2.67,0,32,31,5,23,39,26,,,0,0,31,30,2,60,29,34,,,0,3,3,270,9,3.0,29,20,69.0,0,1,2,1,33.3,1,1,0,0,0.0,3,3,270,1,0.33,7,6,85.7,2,1,0,2,66.7,0,0,0,0,,26,28.020955088716896,27.100616016427104,181.92307692307693,181.5,24.423076923076923,20.0,635,1541080.2692307692,850000.0,40068087,3,8,7,8,0.1153846153846153,0.3076923076923077,0.2692307692307692,0.3076923076923077
Côte d'Ivoire,19,1867.125543452421,22,25.9,49.8,4,44,360,4.0,5,4,9,5,0,0,4,0,1.25,1.0,2.25,1.25,2.25,22,28.1,50.3,4,44,360,4.0,4,4,8,4,0,0,4,0,1.0,1.0,2.0,1.0,2.0,45,14,31.1,11.25,3.5,0.11,0.36,48,14,29.2,12.0,3.5,0.08,0.29,90,100,82,24,20,18,40,1.5,5,4,1,0.25,90,100,82,27,17,21,43,1.5,4,5,-1,-0.25,0,29,36,4,61,40,48,,,0,0,36,25,4,60,41,54,,,0,4,4,360,4,1.0,13,9,69.2,2,0,2,2,50.0,0,0,0,0,,4,4,360,5,1.25,14,9,64.3,2,0,2,0,0.0,0,0,0,0,,26,25.848996998894332,25.364818617385353,182.92307692307693,183.0,27.76923076923077,21.5,722,19029474.692307692,11344300.0,494766342,3,8,6,9,0.1153846153846153,0.3076923076923077,0.2307692307692307,0.3461538461538461
Ecuador,20,1984.2886010012537,21,27.2,55.8,4,44,360,4.0,2,2,4,2,0,0,8,1,0.5,0.5,1.0,0.5,1.0,21,28.2,44.3,4,44,360,4.0,4,4,8,4,0,0,9,0,1.0,1.0,2.0,1.0,2.0,53,20,37.7,13.25,5.0,0.04,0.1,51,13,25.5,12.75,3.25,0.08,0.31,90,100,81,25,18,23,42,1.0,2,4,-2,-0.5,90,100,81,24,20,20,38,1.75,4,2,2,0.5,0,49,38,2,83,38,49,,,0,0,40,48,2,31,30,34,,,0,4,4,360,4,1.0,13,9,69.2,1,1,2,1,25.0,0,0,0,0,,4,4,360,2,0.5,20,18,90.0,2,1,1,3,75.0,0,0,0,0,,26,26.07760753961986,25.679671457905545,180.53846153846155,180.0,30.192307692307693,22.0,785,9953357.23076923,10360885.5,258787288,3,8,8,7,0.1153846153846153,0.3076923076923077,0.3076923076923077,0.2692307692307692
Netherlands,21,2060.8115633575544,22,27.6,53.3,4,44,390,4.3,10,10,20,10,0,0,3,0,2.31,2.31,4.62,2.31,4.62,22,27.5,46.8,4,44,390,4.3,5,5,10,5,0,0,4,0,1.15,1.15,2.31,1.15,2.31,46,22,47.8,10.62,5.08,0.22,0.45,47,20,42.6,10.85,4.62,0.11,0.25,98,100,87,23,21,23,38,2.0,11,5,6,1.38,98,100,87,24,20,24,38,0.5,5,11,-6,-1.38,0,44,43,8,74,36,27,,,0,0,45,40,5,75,28,42,,,1,4,4,390,5,1.15,21,16,76.2,2,1,1,0,0.0,0,0,0,0,,4,4,390,11,2.54,22,11,50.0,1,1,2,0,0.0,0,0,0,0,,26,27.774443215921657,27.09924709103354,185.15384615384616,185.5,33.73076923076923,25.0,877,29431444.076923076,26500000.0,765217546,3,8,8,7,0.1153846153846153,0.3076923076923077,0.3076923076923077,0.2692307692307692
