world_cup_name,transfermarkt_name,club_id
Argentina,Argentina,3437
Algeria,Algeria,3614
Australia,Australia,3433
Austria,Austria,3383
Belgium,Belgium,3382
Bosnia and Herzegovina,Bosnia-Herzegovina,3446
Brazil,Brazil,3439
Canada,Canada,3510
Cape Verde,Cape Verde,4311
Colombia,Colombia,3816
Croatia,Croatia,3556
Curaçao,Curacao,32364
Czech Republic,Czech Republic,3445
Denmark,Denmark,3436
DR Congo,Democratic Republic of the Congo,3854
Ecuador,Ecuador,5750
Egypt,Egypt,3672
England,England,3299
France,France,3377
Germany,Germany,3262
Ghana,Ghana,3441
Haiti,Haiti,14161
Iran,Iran,3582
Ivory Coast,Ivory Coast,3591
Japan,Japan,3435
Jordan,Jordan,15737
Mexico,Mexico,6303
Morocco,Morocco,3575
Netherlands,Netherlands,3379
New Zealand,New Zealand,9171
Nigeria,Nigeria,3444
Norway,Norway,3440
Panama,Panama,3577
Paraguay,Paraguay,3581
Portugal,Portugal,3300
Qatar,Qatar,1230
Saudi Arabia,Saudi Arabia,3807
Senegal,Senegal,3499
Scotland,Scotland,3380
South Africa,South Africa,3806
South Korea,South Korea,3589
Spain,Spain,3375
Switzerland,Switzerland,3384
Tunisia,Tunisia,3670
Turkey,Turkey,3381
USA,United States,3505
Uruguay,Uruguay,3449
Uzbekistan,Uzbekistan,3563